8589940000,0.0,"","","","","","","","","","","","","","","","","","","","","","",0.966,"","","","",2.016,"","","","","","","","","","","",2.442,"",0.445,"","","","","","",1.792,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.366,"","","","","","",0.698,"","","","","","",3.545,1.463,2.066,"","","","",""
8589940001,0.0,"","","","",1.608,"","","","","","","","",1.56,"","",1.933,"","","","",1.894,"","","","","","","","","","","",5.182,"","","","","",1.831,"",0.223,"","","","","","",0.896,"","","","",1.776,"","","","",1.652,"","","","","","","",1.878,"","","","","","","","","",1.813,"","","","","","","","",0.872,"",1.735,"","","","","","",1.871,"","","",""
8589940002,0.0,"","","","","","","","","","","",1.787,1.668,"","",2.116,"","","","","","",0.966,"","","","","","","","","",3.53,"","",1.229,"",3.116,"","","",1.335,1.816,"",1.932,"",1.535,"",1.792,"","","","",0.888,"","","",1.119,"","",0.522,"","","","","","","","","","","","","","","","",1.465,"","","","","","","",0.872,"",0.868,"","","",1.773,1.463,"",1.871,"","","",""
8589940003,0.0,"","","","","","","","","","","","",1.668,"",1.826,2.116,"","",1.017,"","","","",1.988,"","","","","","","","","","","","","",0.779,"",0.61,"",1.335,"",1.94,"",2.667,1.535,2.056,"","","","","",2.664,"","","","","",1.089,1.567,"",1.595,"","","","","","","",1.432,"","","","","","",1.465,"","","",2.118,"",0.555,2.095,"","",2.603,"","","",1.773,"",2.066,"","","","",""
8589940004,0.0,"",1.512,"",1.868,1.608,"","",1.808,"","","","","","",1.826,"",1.933,"","","","",1.894,0.966,"",1.646,1.233,"","","","","","","","","","","","","","",1.358,0.223,1.816,"","","","","","","","","","","","","","","","","",2.089,"","","","","","","","","","","","","","","","",0.733,0.876,"","","",1.433,0.555,"",0.872,"","","",1.181,"",1.773,"","","","","","",""
8589940005,0.0,"","","","","","",2.141,1.808,"","","","","","","","","","","","","","",0.966,1.988,1.646,1.233,"","","","","","","","","","",2.065,0.779,"",0.61,"",0.445,"","","","","","","","","","",2.045,"","","","","","","",0.522,"","","","","","","","","","","","","","","","","","","","",2.118,"","",0.698,"","","",2.919,"","","","","","","","","",""
8589940006,0.0,"",1.512,"","","",1.571,"","","","","","","","","","","","","","","",1.894,"","","","","","","","",3.019,"","","","","","","",1.591,1.831,"",1.113,"",0.97,"",1.334,1.535,"","","","","","","","",2.044,"","","","",1.044,"","","","","",3.755,"","","","","","","","","",3.625,1.099,"","","","","","","","","","","","","",1.773,1.463,"","","","",1.858,""
8589940007,0.0,"","","",3.736,"","","","","","","","","","","","","","","","","","","","","","","",2.016,"","",3.019,"","","","","",2.065,0.779,"",1.221,1.358,0.223,"",1.94,"",1.334,"","",0.896,"","","","","","","","","",1.652,2.178,"","","","",1.34,"","","","","","","","","","","","",0.366,"","",1.167,"","",0.555,0.698,0.872,"","","","","","","","","","",3.652,1.858,""
8589940008,0.0,4.028,"","","",3.215,3.141,2.141,7.232,"",1.548,"","",1.668,1.56,"","","","","","","","",0.966,3.977,1.646,"","","","",4.155,"",2.022,1.765,1.295,1.868,1.229,"",1.558,"",1.221,1.358,1.781,1.816,"",1.932,"","","",0.896,"","",1.998,2.045,4.441,"","",1.005,"","",2.178,2.611,"","","","","",1.878,2.153,"","","",1.572,"","",1.635,"","",2.198,"","","",2.118,"",0.555,"",0.872,"",4.338,1.459,"","",3.545,4.388,2.066,"","","","",1.894
8589940009,0.0,"",1.512,"",1.868,"",1.571,"","","","","","","","","","","","","","","",1.894,"",1.988,"",1.233,"","","",1.039,"","",3.53,"","","","",0.779,"",0.61,"","",1.816,"","","","","","","","","","","","","","","","","",0.522,"","","","","",1.878,"","","","","","","",1.635,1.884,1.813,1.099,1.752,"","","",1.433,"","","","","",2.919,"","",5.318,"","","","","","",""
