0,0.0,"","","","","","",2.141,"","","","","",1.668,"","","","","","","",1.894,"",0.966,"",1.646,"","","","",2.078,"",2.022,"","","","","",0.779,1.591,0.61,"",0.445,"",0.97,"",1.334,1.535,"",0.896,"","","",2.045,"","","",5.025,2.238,"","",1.044,2.115,1.595,"","","","","","","","","","","","",1.884,"",1.099,"","","","","","",1.396,"","","","","","",1.773,"",2.066,"","","","",""
1,0.0,"",3.025,"",5.604,1.608,"",2.141,1.808,"",3.095,"","","",1.56,3.651,"","",1.854,3.052,"","","",0.966,"",1.646,1.233,"","",7.373,2.078,"","","","",1.868,"","",3.116,4.772,0.61,1.358,1.113,3.633,"","",2.667,"","","","",1.884,"",2.045,"","","",1.005,2.238,"",3.267,4.178,"","","","","","","","","",1.432,"","","","","","",2.198,"","","","","",1.109,0.698,"","","",1.459,"",1.726,1.773,"","","","","","",""
2,0.0,"",3.025,3.279,3.736,"","","",1.808,"",3.095,"","",3.336,"","",2.116,"","","","",1.894,"","","",1.646,"","","",5.53,3.116,"",2.022,"","","","",2.065,0.779,3.181,1.831,"",0.668,"","",1.932,"","","","","","","",6.136,5.329,"","",3.015,5.594,"",2.178,0.522,"","","","","",1.878,"","","","","","","","","","",2.93,0.876,"",1.167,2.118,"","",2.793,"","",5.206,1.459,"","","","","","",1.897,1.826,"",""
3,0.0,"",1.512,"","","",3.141,"","","","","","","","","",2.116,"","","","","","","","","","","","","",2.078,3.019,"","","",3.736,2.458,"","","",1.831,"",0.89,"","","",2.667,"",2.056,0.896,"","","","",1.776,"","",2.01,"","",1.089,"","","","","","","","","","","","","","","","","",0.366,"","",1.167,"","",0.555,1.396,"","",1.735,"",1.181,"","","","","","","","",1.894
4,0.0,"",1.512,"","","",1.571,"",1.808,"",1.548,"","","",1.56,1.826,"","",1.854,"","",1.894,1.894,"","","","","","",1.843,5.194,"","",1.765,"","","",2.065,0.779,1.591,2.442,1.358,0.445,1.816,1.94,1.932,"","","","","","","","",5.329,"","","","","",1.089,1.044,"","","",1.34,"",1.878,2.153,"","","",1.572,"","","","",1.813,0.733,"","",2.333,"","",0.555,1.396,"",1.978,5.206,"",1.181,"",1.773,1.463,"",1.871,"",1.826,1.858,1.894
5,0.0,"","","","",3.215,"","","","","","",1.787,"",1.56,1.826,"","",1.854,"","","","","","","","","",2.016,1.843,"","","","",1.295,"","","",0.779,"","","",0.445,"","","","","","","","","","",2.045,0.888,"","","","","","",0.522,"","","",1.34,"","","",2.1,"","","","",3.379,"","","",0.733,"","",1.167,"","",0.555,1.396,0.872,"",0.868,"","","","","","","","",1.826,1.858,1.894
6,0.0,"","","","","","","","","",1.548,"","","","","","","",1.854,"","","",1.894,0.966,"",4.937,"","","","",1.039,"",2.022,"","","",1.229,"",1.558,"",0.61,"",0.223,"","",1.932,"","","",0.896,"","","","","","","","","",1.652,"",0.522,"","","","","","",2.153,"",2.029,"","","","","","","",0.733,0.876,"","","",1.433,1.109,1.396,"",5.935,"",1.459,"",1.726,1.773,1.463,"","","","","",""
7,0.0,"","","","","",1.571,"","","","","","",1.668,"","","","","","","","","","",1.988,"","","","",1.843,"",3.019,"","",1.295,"","","",0.779,"",0.61,"",0.223,"","","",1.334,"","",0.896,"",3.769,"","","","","",1.005,"","","",0.522,"","","","","","","","","","","","","","","","","","","",2.333,"","",3.327,"","",1.978,"","","","","","",2.066,"","",1.826,1.858,""
8,0.0,"","","","","","","",1.808,"","","","",3.336,"","","","","","","","","","","","","","","","","","","","",1.295,"","","","","",1.221,"",0.668,"","","",1.334,1.535,"",0.896,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.733,0.876,"","","","","","",0.872,"","","","","","",1.463,"","","","","",""
9,0.0,"","","","","","","","","","","","",1.668,"","","","","","","","","","","",1.646,"","","","","",1.51,2.022,"","","",1.229,"","","",0.61,"",0.223,"","","","","","","",2.087,"","","","","","","","","","","",2.115,"","","","","","","","","","","","",1.635,"","",0.366,"","","","",1.433,1.109,"",0.872,"","","","","","","","","","","","",""
